AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer,Answer.case
Approved,83,"<p>The Ketogenic Diet is a therapeutic and specially calculated diet that is high in fat and low in protein and carbohydrates diet used for the treatment of epileptic seizures, either in conjunction with, or in place of anticonvulsant.</p>",129,"The Ketagenic Diet is high in fat, but low in carbohydrates and proteins.  The primary use of this diet is to treat epilepsy.  It may be used together with a prescription for an anticonvulsant, or instead of the medication.",129
Approved,531,"<p>A Wiki is a type of website that allows users to add, remove, or otherwise edit and change most content very quickly and easily. And that is it! As a part of Wikidot.com network this Site is a customizable piece of the Internet where Users can edit content, upload files, communicate and collaborate.</p>",67,"A website that gives users the ability to modify its content by adding , removing and editing the contents is known as a Wiki.  That is the basic definition of a Wiki.  This site is part of Wikidot.com and is a part of the internet that allows users to modify the content, add file information, communicate with one another and even work together to create new or modified content.",67
Approved,283,"<p>An astounding amount of scientific evidence disproving evolutionary theory has been uncovered. Here is part of that evidence. Here are facts of true science which can help you and others. Knowing the truth about origins can help people live better, happier lives. You will find here the most complete collection of facts on this subject available on the worldwide web.</p>",109,"We have plenty of evidence that disproves evolution!  We give you some of this evidence, the facts of our true science that will help humanity.  Those who know this truth will live better and happier lives!  From our website, you will find the most comprehensive list of truths about this topic.  There is no other place on the Internet in possession of a more complete collection!",109
Approved,229,"<p>A new food pyramid, based on the latest research, has been proposed to replace the United States Department of Agriculture Model. It comes out of the Harvard School of Public Health, where Dr. Walter Willett says the USDA pyramid's first mistake is to restrict all fats.</p>",59,A brand new food pyramid has been proposed by Dr. Walter Willett to replace The United States Department of Agriculture Model. This research comes from the Harvard School of Public Health. Dr. Willett states that the restriction of all fats is the USDA pyramid's first mistake.,59
Approved,296,<p>Periapical (root-tip) Abscess. A periapical (root-tip) abscess is a pocket of infection at the base of a tooth's root. The tooth becomes abscessed after the pulp (nerve) of the tooth becomes infected. A periapical abscess is usually caused by deep decay or an accident (trauma to the tooth involving nerve damage). A periapically abscessed tooth will require either Root Canal Therapy or an Extraction.</p>,77,"Severe tooth decay can lead to the need for either a Root Canal or tooth Extraction, both of which can be very costly and painful procedures. In particular tooth decay that extends to the base of the tooth root may cause an infection and abscess of the tooth. Known as a pariapical abcess, this infection is severe enough that it requires severe procedures for it's cure.",77
Approved,193,<p>Andropause can cause depression and anxiety not just among men but also among their spouses who will have to deal with the multitude of changes in their husbands as well. It is advisable for women to understand andropause so that they can know exactly how to deal with their partner and help him cope with this challenging stage in his life. Andropause Affects LifeAndropause is a clinical condition that affects men most commonly in their midlife.</p>,49,"Andropause, which is a medical condition that affects men in middle age, can cause mood disturbance.  This phenomenon can affect men and those close to them, therefore it is important for women to understand how they can help their partner cope during during this difficult time.",49
Approved,180,"<p>Category Archives: food pyramid. Goodbye, Food Pyramid … Hello, MyPlate! Posted on June 7, 2011 | 3 Comments. Last week we said goodbye to the food pyramid—our pictorial guideline for nutrition for almost 20 years—and said hello to MyPlate, our new visual guide for healthy eating. Introduced by first lady Michelle</p>",56,"Category Archives:  The Food Pyramid

Food Pyramid is over, how about MyPlate?
Posted on 06/07/2011

Last week, we bade farewell to our fond memories of Food Pyramid, a guide to food groups posted in every classroom for two decades.  Instead, we were introduced to MyPlate, an updated guide to nutrition that was introduced by the First Lady, Michelle.",56
Approved,565,"<p>The assassination of former president John F. Kennedy is a national tragedy mired in myth, captivating Americans even decades after the case was closed. But as authors and historians continue to ponder the players involved in the plot to kill Kennedy, one CIA expert is insisting on a much-debated Cuban connection.</p>",145,"The assassination of former president John F. Kennedy is a tragedy surrounded by conspiracies, and even today the American population is unable to collectively decide who was behind it. As authors and historians try to conclude who was involved in the plot, one CIA expert is certain it involved Cuba.",145
Approved,135,<p>How to tie a Overhand Knot. Overhand Knot. Make a crossing turn by taking the working end (the short end in the picture that does all the work) behind the standing part (the long part of the rope). Then bring the working end to the top of the knot.</p>,151,"Instructions for an Overhand Knot.
Overhand Knot:  take the working end (the shorter end that does the work; see illustration).  Thread behind the standing part (the longer part in the illustration), and then to the upper part of the knot.",151
Approved,264,"<p>CONCLUSIONS: Concomitant Barrett epithelium improved the prognosis for patients with adenocarcinoma in the distal esophagus. Probably the reason for this was a higher rate of early-stage disease, because symptoms of gastroesophageal reflux and other benign disorders, not dysphagia, were most common in patients with adenocarcinoma without Barrett epithelium in the distal esophagus.</p>",82,"Conclusion.

The prognosis for patients diagnosed with adenocarcinoma in the distal esophagus was found to be better when Barrett epithelium was present.  The likely explanation is that this is due to increased likelihood of early-stage disease, since symptoms characteristic of benign disorders, such as gastroesophageal reflux, were typical for adenocarcinoma patients without Barrett epithelium.",82
Approved,65,"<p>Pope Benedict XVI has held a 30-minute meeting with Cuba's revolutionary leader and former President, Fidel Castro.</p>",146,"Fidel Castro, Cuba's revolutionary leader, met with Pope Benedict XVI for about 30 minutes.",146
Approved,102,"<p>Where You Can Get 'Pink-Slime'-Free Beef. Health. After listening to all the reports lately about “pink slime beef” I think this is a good article to share. Here is a list of stores that doesn't have pink slime beef. Read carefully because you will notice that some stores on the list admit to carrying both. Also, not all school districts have vowed not to use pink slime beef anymore.</p>",172,"How to get beef without ""pink slime""?

I saw a lot of recent reports about ""pink slime beef"", and then came across this article that I think I should share.  It's a list of stores that sell beef that doesn't have pink slime.  But be careful, some stores on the list say they have both kinds.  In addition, some school districts haven't sworn off the stuff.",172
Approved,215,"<p>While the parents of sextuplets born this week in B.C. Children's Hospital are striving to keep a low profile, the health of their babies could propel them into a courtroom and a very public clash over medical responsibilities and religious rights.</p>",165,"A rare event took place this week at B.C. Children's Hospital when a set of sextuplets were born. The parents of the sextuplets have been determined to remain under the radar, but issues centered on religious rights and responsible medical practices may land the couple in a court of law.",165
Approved,72,"<p>Learning Objectives. At the end of this module, you will: understand the basic features of social bookmarking; know how to create your own social bookmarking account; know how to upload bookmarks from your computer to the social bookmarking site; understand some of the uses of social bookmarking;</p>",70,"The objective of this learning module is to teach the user the basics of social bookmarking.  The user will learn how to construct a social bookmarking account, how to upload bookmarks to the site, and what these bookmarks are and what they are used for.",70
Approved,170,"<p>There are many different styles to roofs nowadays, some of these styles are more common than others depending upon where you live. Different styles of roofs perform well depending on the geography. We have provided our users with a list of the most popular roofing styles today and some details about each of them.</p>",91,"When choosing a roof, one must consider his or her location, as the best style of roof varies with the local geography. We have a list of our most commonly used roofing styles, complete with descriptions of each model.",91
